ilan_id,ilan_linki,ilan_tarihi,ilan_tipi,metrekare,bina_yasi,kat,konum,fiyat,para_birimi,il,ilce,skor,kademe,fiyat_per_m2,banyo_sayisi,kat_sayisi,isinma_tipi,cephe,kullanim_durumu,oda_sayisi_yeni,salon_sayisi,kat_sayisi_encoded,cephe_kuzey,cephe_guney,cephe_dogu,cephe_bati
155610-38,https://www.hepsiemlak.com/gaziantep-sehitkamil-15-temmuz-satilik/daire/155610-38,03-03-2025,Daire,320.0,5.0,7. Kat,Gaziantep / Şehitkamil / 15 Temmuz Mah.,17500000,TL,Gaziantep,Şehitkamil,2.375,1. Kademe,54687.5,3.0,30.0,Merkezi (Pay Ölçer),"Güney, Doğu",Boş,4,1,7.0,0,1,1,0
151949-14,https://www.hepsiemlak.com/ankara-cankaya-alacaatli-satilik/daire/151949-14,12-04-2025,Daire,220.0,7.0,Bahçe Katı,Ankara / Çankaya / Alacaatlı Mah.,17500000,TL,Ankara,Çankaya,6.901,1. Kademe,79545.45,2.0,4.0,Yerden Isıtma,"Kuzey, Güney, Doğu",Boş,4,1,0.0,1,1,1,0
116955-5340,https://www.hepsiemlak.com/istanbul-atasehir-barbaros-satilik/daire/116955-5340,07-04-2025,Daire,200.0,11.0,1. Kat,İstanbul / Ataşehir / Barbaros Mah.,17500000,TL,İstanbul,Ataşehir,3.545,1. Kademe,87500.0,2.0,30.0,Merkezi (Pay Ölçer),"Güney, Batı",Kiracılı,3,1,1.0,0,1,0,1
1049-170496,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/1049-170496,08-04-2025,Daire,120.0,19.0,En Üst Kat,İstanbul / Kadıköy / Suadiye Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,145833.33,1.0,11.0,Kombi,Güney,Boş,3,1,11.0,0,1,0,0
2547-1735,https://www.hepsiemlak.com/istanbul-beyoglu-omer-avni-satilik/daire/2547-1735,06-02-2025,Daire,165.0,31.0,5. Kat,İstanbul / Beyoğlu / Ömer Avni Mah.,17500000,TL,İstanbul,Beyoğlu,3.394,1. Kademe,106060.61,2.0,5.0,Kombi,"Güney, Doğu, Batı",Boş,3,1,5.0,0,1,1,1
138819-53,https://www.hepsiemlak.com/istanbul-uskudar-altunizade-satilik/daire/138819-53,05-03-2025,Daire,180.0,31.0,2. Kat,İstanbul / Üsküdar / Altunizade Mah.,17500000,TL,İstanbul,Üsküdar,3.045,1. Kademe,97222.22,2.0,5.0,Kombi,"Güney, Doğu",Boş,4,1,2.0,0,1,1,0
0-44242337,https://www.hepsiemlak.com/zonguldak-merkez-bastarla-satilik/daire/0-44242337,28-02-2025,Daire,440.0,25.0,En Üst Kat,Zonguldak / Merkez / Baştarla Mah.,17500000,TL,Zonguldak,Merkez,1.189,2. Kademe,39772.73,2.0,2.0,Kombi,"Kuzey, Güney, Doğu, Batı",Mülk Sahibi,5,2,2.0,1,1,1,1
110538-3614,https://www.hepsiemlak.com/ankara-yenimahalle-yeni-bati-satilik/daire/110538-3614,14-04-2025,Daire,220.0,5.0,9. Kat,Ankara / Yenimahalle / Yeni Batı Mah.,17500000,TL,Ankara,Yenimahalle,4.481,1. Kademe,79545.45,3.0,18.0,Yerden Isıtma,"Güney, Doğu",Mülk Sahibi,4,1,9.0,0,1,1,0
118740-1503,https://www.hepsiemlak.com/istanbul-umraniye-asagi-dudullu-satilik/daire/118740-1503,02-04-2025,Daire,175.0,4.0,7. Kat,İstanbul / Ümraniye / Aşağı Dudullu Mah.,17500000,TL,İstanbul,Ümraniye,3.364,1. Kademe,100000.0,2.0,29.0,Merkezi,Güney,Mülk Sahibi,3,1,7.0,0,1,0,0
45046-417,https://www.hepsiemlak.com/istanbul-buyukcekmece-ataturk-satilik/daire/45046-417,03-04-2025,Daire,208.0,2.0,5. Kat,İstanbul / Büyükçekmece / Atatürk Mah.,17500000,TL,İstanbul,Büyükçekmece,1.891,1. Kademe,84134.62,2.0,6.0,Kombi,Güney,Boş,3,1,5.0,0,1,0,0
141882-6,https://www.hepsiemlak.com/istanbul-sisli-ferikoy-satilik/daire/141882-6,05-03-2025,Daire,185.0,12.0,4. Kat,İstanbul / Şişli / Feriköy Mah.,17500000,TL,İstanbul,Şişli,6.959,1. Kademe,94594.59,3.0,4.0,Kombi,"Güney, Doğu, Batı",Boş,3,1,4.0,0,1,1,1
5555-36820,https://www.hepsiemlak.com/istanbul-kadikoy-feneryolu-satilik/daire/5555-36820,18-04-2025,Daire,150.0,9.0,1. Kat,İstanbul / Kadıköy / Feneryolu Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,116666.67,2.0,9.0,Kombi,"Kuzey, Güney, Doğu, Batı",Boş,3,1,1.0,1,1,1,1
42416-1411,https://www.hepsiemlak.com/istanbul-beyoglu-purtelas-hasan-efendi-satilik/daire/42416-1411,21-04-2025,Daire,176.0,4.0,4. Kat,İstanbul / Beyoğlu / Pürtelaş Hasan Efendi Mah.,17500000,TL,İstanbul,Beyoğlu,3.394,1. Kademe,99431.82,2.0,5.0,Kombi,"Doğu, Batı",Boş,3,1,4.0,0,0,1,1
135253-537,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/135253-537,05-03-2025,Daire,130.0,3.0,2. Kat,İstanbul / Kadıköy / Göztepe Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,134615.38,2.0,11.0,Merkezi (Pay Ölçer),Güney,Kiracılı,3,1,2.0,0,1,0,0
2150-3892,https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-satilik/daire/2150-3892,02-03-2025,Daire,260.0,8.0,4. Kat,İstanbul / Maltepe / İdealtepe Mah.,17500000,TL,İstanbul,Maltepe,2.685,1. Kademe,67307.69,3.0,4.0,Merkezi (Pay Ölçer),"Güney, Batı",Mülk Sahibi,4,2,4.0,0,1,0,1
42003-6457,https://www.hepsiemlak.com/istanbul-pendik-sapan-baglari-satilik/daire/42003-6457,09-04-2025,Daire,350.0,21.0,7. Kat,İstanbul / Pendik / Sapan Bağları Mah.,17500000,TL,İstanbul,Pendik,2.485,1. Kademe,50000.0,2.0,7.0,Kombi,"Kuzey, Güney, Doğu",Mülk Sahibi,6,2,7.0,1,1,1,0
8560-5323,https://www.hepsiemlak.com/antalya-muratpasa-caglayan-satilik/daire/8560-5323,11-04-2025,Daire,220.0,14.0,4. Kat,Antalya / Muratpaşa / Çağlayan Mah.,17500000,TL,Antalya,Muratpaşa,3.173,1. Kademe,79545.45,2.0,4.0,Kombi,"Güney, Doğu, Batı",Mülk Sahibi,4,2,4.0,0,1,1,1
62823-6547,https://www.hepsiemlak.com/istanbul-kadikoy-acibadem-satilik/daire/62823-6547,12-04-2025,Daire,125.0,8.0,3. Kat,İstanbul / Kadıköy / Acıbadem Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,140000.0,2.0,4.0,Kombi,"Güney, Doğu",Kiracılı,3,1,3.0,0,1,1,0
62823-7062,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/62823-7062,12-04-2025,Daire,135.0,7.0,5. Kat,İstanbul / Kadıköy / Suadiye Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,129629.63,1.0,8.0,Kombi,"Güney, Batı",Mülk Sahibi,3,1,5.0,0,1,0,1
62823-7101,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/62823-7101,23-04-2025,Daire,145.0,5.0,4. Kat,İstanbul / Kadıköy / Göztepe Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,120689.66,2.0,11.0,Merkezi (Pay Ölçer),"Kuzey, Doğu, Batı",Boş,3,1,4.0,1,0,1,1
62823-7301,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/62823-7301,12-04-2025,Daire,135.0,3.0,2. Kat,İstanbul / Kadıköy / Göztepe Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,129629.63,2.0,11.0,Merkezi (Pay Ölçer),"Güney, Doğu, Batı",Kiracılı,3,1,2.0,0,1,1,1
2554-1188,https://www.hepsiemlak.com/adana-seyhan-yenibaraj-satilik/daire/2554-1188,24-04-2025,Daire,300.0,20.0,3. Kat,Adana / Seyhan / Yenibaraj Mah.,17500000,TL,Adana,Seyhan,2.043,1. Kademe,58333.33,2.0,17.0,Merkezi,"Güney, Doğu, Batı",Kiracılı,5,1,3.0,0,1,1,1
87449-3480,https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-satilik/daire/87449-3480,03-02-2025,Daire,120.0,9.0,1. Kat,İstanbul / Kadıköy / Caddebostan Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,145833.33,2.0,11.0,Merkezi (Pay Ölçer),"Kuzey, Güney, Batı",Mülk Sahibi,2,1,1.0,1,1,0,1
23761-80528,https://www.hepsiemlak.com/istanbul-kadikoy-feneryolu-satilik/daire/23761-80528,28-03-2025,Daire,145.0,7.0,1. Kat,İstanbul / Kadıköy / Feneryolu Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,120689.66,2.0,9.0,Kombi,Güney,Mülk Sahibi,3,1,1.0,0,1,0,0
4675-16846,https://www.hepsiemlak.com/istanbul-kadikoy-erenkoy-satilik/daire/4675-16846,06-03-2025,Daire,150.0,5.0,8. Kat,İstanbul / Kadıköy / Erenköy Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,116666.67,2.0,12.0,Kombi,"Kuzey, Güney, Doğu, Batı",Boş,3,1,8.0,1,1,1,1
1003-12896,https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-satilik/daire/1003-12896,02-03-2025,Daire,170.0,1.0,En Üst Kat,İstanbul / Maltepe / İdealtepe Mah.,17500000,TL,İstanbul,Maltepe,2.685,1. Kademe,102941.18,2.0,4.0,Merkezi (Pay Ölçer),"Güney, Batı",Kiracılı,4,1,4.0,0,1,0,1
138068-666,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/138068-666,14-04-2025,Daire,135.0,5.0,1. Kat,İstanbul / Kadıköy / Göztepe Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,129629.63,2.0,10.0,Kombi,Güney,Mülk Sahibi,2,1,1.0,0,1,0,0
155679-4,https://www.hepsiemlak.com/ankara-cankaya-yildizevler-satilik/daire/155679-4,23-04-2025,Daire,275.0,5.0,7. Kat,Ankara / Çankaya / Yıldızevler Mah.,17500000,TL,Ankara,Çankaya,6.901,1. Kademe,63636.36,3.0,7.0,Kombi,"Güney, Doğu",Kiracılı,4,1,7.0,0,1,1,0
95770-2778,https://www.hepsiemlak.com/ankara-cankaya-ilkbahar-satilik/daire/95770-2778,14-04-2025,Daire,181.0,3.0,Ara Kat,Ankara / Çankaya / İlkbahar Mah.,17500000,TL,Ankara,Çankaya,6.901,1. Kademe,96685.08,2.0,16.0,Merkezi (Pay Ölçer),"Güney, Doğu, Batı",Mülk Sahibi,4,1,8.0,0,1,1,1
129636-529,https://www.hepsiemlak.com/istanbul-buyukcekmece-sinanoba-satilik/daire/129636-529,17-04-2025,Daire,225.0,3.0,5. Kat,İstanbul / Büyükçekmece / Sinanoba Mah.,17500000,TL,İstanbul,Büyükçekmece,1.891,1. Kademe,77777.78,2.0,6.0,Yerden Isıtma,Kuzey,Mülk Sahibi,4,1,5.0,1,0,0,0
67117-2100,https://www.hepsiemlak.com/mugla-bodrum-turkbuku-satilik/daire/67117-2100,16-04-2025,Daire,100.0,5.0,2. Kat,Muğla / Bodrum / Türkbükü Mah.,17500000,TL,Muğla,Bodrum,2.483,1. Kademe,175000.0,2.0,3.0,Klima,"Doğu, Batı",Boş,2,1,2.0,0,0,1,1
129636-607,https://www.hepsiemlak.com/istanbul-buyukcekmece-sinanoba-satilik/daire/129636-607,08-04-2025,Daire,225.0,4.0,5. Kat,İstanbul / Büyükçekmece / Sinanoba Mah.,17500000,TL,İstanbul,Büyükçekmece,1.891,1. Kademe,77777.78,3.0,6.0,Yerden Isıtma,"Kuzey, Doğu",Mülk Sahibi,4,1,5.0,1,0,1,0
151547-187,https://www.hepsiemlak.com/gaziantep-sehitkamil-guvenevler-satilik/daire/151547-187,16-04-2025,Daire,350.0,5.0,7. Kat,Gaziantep / Şehitkamil / Güvenevler Mah.,17500000,TL,Gaziantep,Şehitkamil,2.375,1. Kademe,50000.0,4.0,8.0,Merkezi,"Kuzey, Güney, Doğu",Boş,5,1,7.0,1,1,1,0
123298-406,https://www.hepsiemlak.com/hatay-dortyol-numune-evler-satilik/daire/123298-406,11-04-2025,Daire,400.0,5.0,4. Kat,Hatay / Dörtyol / Numune Evler Mah.,17500000,TL,Hatay,Dörtyol,0.323,3. Kademe,43750.0,3.0,5.0,Kombi,"Kuzey, Güney, Batı",Mülk Sahibi,6,1,4.0,1,1,0,1
8560-4722,https://www.hepsiemlak.com/antalya-muratpasa-caglayan-satilik/daire/8560-4722,18-04-2025,Daire,300.0,5.0,4. Kat,Antalya / Muratpaşa / Çağlayan Mah.,17500000,TL,Antalya,Muratpaşa,3.173,1. Kademe,58333.33,3.0,4.0,Kombi,"Kuzey, Güney, Doğu, Batı",Boş,5,2,4.0,1,1,1,1
32345-11156,https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-1-kisim-satilik/daire/32345-11156,05-04-2025,Daire,200.0,11.0,Bahçe Katı,İstanbul / Başakşehir / Bahçeşehir 1. Kısım Mah.,17500000,TL,İstanbul,Başakşehir,3.468,1. Kademe,87500.0,2.0,3.0,Kombi,"Güney, Doğu, Batı",Boş,3,1,0.0,0,1,1,1
156328-97,https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-satilik/daire/156328-97,25-04-2025,Daire,170.0,2.0,En Üst Kat,İstanbul / Maltepe / İdealtepe Mah.,17500000,TL,İstanbul,Maltepe,2.685,1. Kademe,102941.18,2.0,4.0,Merkezi (Pay Ölçer),Güney,Kiracılı,4,1,4.0,0,1,0,0
38288-749,https://www.hepsiemlak.com/antalya-kemer-merkez-satilik/daire/38288-749,25-04-2025,Daire,230.0,15.0,2. Kat,Antalya / Kemer / Merkez Mah.,17500000,TL,Antalya,Kemer,1.501,2. Kademe,76086.96,2.0,2.0,Klima,"Kuzey, Güney, Doğu, Batı",Mülk Sahibi,3,1,2.0,1,1,1,1
4753-17071,https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-satilik/daire/4753-17071,25-04-2025,Daire,150.0,10.0,Bahçe Katı,İstanbul / Bakırköy / Şenlikköy Mah.,17500000,TL,İstanbul,Bakırköy,4.465,1. Kademe,116666.67,2.0,2.0,Kombi,Batı,Mülk Sahibi,4,1,0.0,0,0,0,1
70189-4697,https://www.hepsiemlak.com/istanbul-besiktas-gayrettepe-satilik/daire/70189-4697,21-04-2025,Daire,210.0,11.0,6. Kat,İstanbul / Beşiktaş / Gayrettepe Mah.,17500000,TL,İstanbul,Beşiktaş,5.94,1. Kademe,83333.33,2.0,7.0,Kombi,"Güney, Doğu, Batı",Kiracılı,4,1,6.0,0,1,1,1
32905-835,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/32905-835,23-04-2025,Daire,110.0,23.0,11. Kat,İstanbul / Kadıköy / Suadiye Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,159090.91,1.0,11.0,Kombi,"Kuzey, Güney, Batı",Boş,3,1,11.0,1,1,0,1
57525-601,https://www.hepsiemlak.com/istanbul-kadikoy-fikirtepe-satilik/daire/57525-601,29-03-2025,Daire,180.0,4.0,19. Kat,İstanbul / Kadıköy / Fikirtepe Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,97222.22,2.0,23.0,Yerden Isıtma,"Güney, Doğu",Kiracılı,3,1,19.0,0,1,1,0
132244-1020,https://www.hepsiemlak.com/hatay-arsuz-karaagac-ovunduk-satilik/daire/132244-1020,22-04-2025,Daire,180.0,3.0,3. Kat,Hatay / Arsuz / Karaağaç Övündük Mah.,17500000,TL,Hatay,Arsuz,-0.064,3. Kademe,97222.22,3.0,3.0,Kombi,"Kuzey, Güney, Doğu, Batı",Mülk Sahibi,3,1,3.0,1,1,1,1
104087-3759,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/104087-3759,24-04-2025,Daire,110.0,7.0,9. Kat,İstanbul / Kadıköy / Suadiye Mah.,17500000,TL,İstanbul,Kadıköy,4.91,1. Kademe,159090.91,2.0,16.0,Merkezi (Pay Ölçer),"Güney, Batı",Boş,3,1,9.0,0,1,0,1
139833-160,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/139833-160,16-03-2025,Daire,420.0,5.0,4. Kat,İstanbul / Beylikdüzü / Adnan Kahveci Mah.,17500000,TL,İstanbul,Beylikdüzü,2.503,1. Kademe,41666.67,3.0,5.0,Merkezi (Pay Ölçer),Doğu,Boş,5,2,4.0,0,0,1,0
119436-110,https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-satilik/daire/119436-110,25-03-2025,Daire,170.0,2.0,4. Kat,İstanbul / Maltepe / İdealtepe Mah.,17500000,TL,İstanbul,Maltepe,2.685,1. Kademe,102941.18,2.0,4.0,Merkezi (Pay Ölçer),"Güney, Doğu, Batı",Kiracılı,4,1,4.0,0,1,1,1
33208-5789,https://www.hepsiemlak.com/istanbul-besiktas-ulus-satilik/daire/33208-5789,16-04-2025,Daire,135.0,26.0,Yüksek Giriş,İstanbul / Beşiktaş / Ulus Mah.,17500000,TL,İstanbul,Beşiktaş,5.94,1. Kademe,129629.63,2.0,5.0,Merkezi (Pay Ölçer),"Güney, Doğu",Kiracılı,2,1,0.0,0,1,1,0
39372-41846,https://www.hepsiemlak.com/istanbul-sariyer-maslak-satilik/daire/39372-41846,22-03-2025,Daire,148.0,4.0,9. Kat,İstanbul / Sarıyer / Maslak Mah.,17500000,TL,İstanbul,Sarıyer,3.249,1. Kademe,118243.24,2.0,22.0,Merkezi (Pay Ölçer),"Kuzey, Güney, Batı",Boş,2,1,9.0,1,1,0,1
73574-1102,https://www.hepsiemlak.com/izmir-karsiyaka-mavisehir-satilik/daire/73574-1102,24-04-2025,Daire,155.0,21.0,12. Kat,İzmir / Karşıyaka / Mavişehir Mah.,17500000,TL,İzmir,Karşıyaka,2.222,1. Kademe,112903.23,2.0,20.0,Merkezi (Pay Ölçer),"Güney, Doğu",Boş,3,1,12.0,0,1,1,0
129138-776,https://www.hepsiemlak.com/istanbul-uskudar-bahcelievler-satilik/daire/129138-776,13-04-2025,Daire,190.0,5.0,6. Kat,İstanbul / Üsküdar / Bahçelievler Mah.,17500000,TL,İstanbul,Üsküdar,3.045,1. Kademe,92105.26,3.0,6.0,Kombi,Güney,Mülk Sahibi,3,1,6.0,0,1,0,0
42720-5973,https://www.hepsiemlak.com/istanbul-uskudar-murat-reis-satilik/daire/42720-5973,16-04-2025,Daire,260.0,25.0,4. Kat,İstanbul / Üsküdar / Murat Reis Mah.,17500000,TL,İstanbul,Üsküdar,3.045,1. Kademe,67307.69,2.0,5.0,Kombi,"Kuzey, Güney",Kiracılı,4,2,4.0,1,1,0,0
42416-1409,https://www.hepsiemlak.com/istanbul-beyoglu-purtelas-hasan-efendi-satilik/daire/42416-1409,11-04-2025,Daire,175.0,4.0,En Üst Kat,İstanbul / Beyoğlu / Pürtelaş Hasan Efendi Mah.,17500000,TL,İstanbul,Beyoğlu,3.394,1. Kademe,100000.0,2.0,5.0,Kombi,"Doğu, Batı",Boş,3,1,5.0,0,0,1,1
119728-4196,https://www.hepsiemlak.com/istanbul-sariyer-maslak-satilik/daire/119728-4196,07-04-2025,Daire,145.0,5.0,8. Kat,İstanbul / Sarıyer / Maslak Mah.,17500000,TL,İstanbul,Sarıyer,3.249,1. Kademe,120689.66,2.0,30.0,Merkezi (Pay Ölçer),"Kuzey, Güney, Doğu, Batı",Mülk Sahibi,2,1,8.0,1,1,1,1
6135-5560,https://www.hepsiemlak.com/ankara-cankaya-umit-satilik/daire/6135-5560,25-04-2025,Daire,260.0,11.0,1. Kat,Ankara / Çankaya / Ümit Mah.,17500000,TL,Ankara,Çankaya,6.901,1. Kademe,67307.69,2.0,16.0,Merkezi (Pay Ölçer),"Güney, Doğu, Batı",Boş,4,1,1.0,0,1,1,1
101012-2499,https://www.hepsiemlak.com/antalya-muratpasa-guzeloba-satilik/daire/101012-2499,31-03-2025,Daire,125.0,2.0,6. Kat,Antalya / Muratpaşa / Güzeloba Mah.,17500000,TL,Antalya,Muratpaşa,3.173,1. Kademe,140000.0,2.0,6.0,Yerden Isıtma,"Kuzey, Güney, Doğu, Batı",Boş,2,1,6.0,1,1,1,1
7772-992,https://www.hepsiemlak.com/balikesir-ayvalik-ali-cetinkaya-satilik/daire/7772-992,18-04-2025,Daire,180.0,1.0,En Üst Kat,Balıkesir / Ayvalık / Ali Çetinkaya Mah.,17500000,TL,Balıkesir,Ayvalık,0.907,2. Kademe,97222.22,2.0,3.0,Merkezi,"Kuzey, Güney, Doğu, Batı",Boş,4,2,3.0,1,1,1,1
