il,ilce,skor,Kademe
Sakarya,Karasu,0.159,3. Kademe
Yalova,Termal,0.158,3. Kademe
Osmaniye,Kadirli,0.157,3. Kademe
Sakarya,Akyazı,0.153,3. Kademe
Antalya,Gazipaşa,0.152,3. Kademe
Tekirdağ,Kapaklı,0.149,3. Kademe
Sinop,Ayancık,0.146,3. Kademe
Yalova,Çınarcık,0.141,3. Kademe
Çanakkale,Ayvacık,0.133,3. Kademe
Kahramanmaraş,Elbistan,0.13,3. Kademe
Tekirdağ,Saray,0.125,3. Kademe
Diyarbakır,Sur,0.124,3. Kademe
Niğde,Bor,0.116,3. Kademe
Ankara,Şereflikoçhisar,0.115,3. Kademe
Adana,Ceyhan,0.103,3. Kademe
Bilecik,Söğüt,0.102,3. Kademe
Edirne,Uzunköprü,0.1,3. Kademe
Bursa,İznik,0.099,3. Kademe
Tekirdağ,Şarköy,0.097,3. Kademe
Şanlıurfa,Haliliye,0.096,3. Kademe
Ardahan,Merkez,0.088,3. Kademe
Kastamonu,Abana,0.084,3. Kademe
Antalya,Korkuteli,0.081,3. Kademe
Zonguldak,Çaycuma,0.08,3. Kademe
Yozgat,Yerköy,0.079,3. Kademe
Denizli,Sarayköy,0.078,3. Kademe
Rize,Ardeşen,0.078,3. Kademe
Burdur,Gölhisar,0.074,3. Kademe
Siirt,Merkez,0.074,3. Kademe
Tekirdağ,Malkara,0.068,3. Kademe
Hatay,Belen,0.064,3. Kademe
Giresun,Bulancak,0.063,3. Kademe
Balıkesir,Gömeç,0.062,3. Kademe
Bursa,Yenişehir,0.062,3. Kademe
Erzurum,Aziziye,0.062,3. Kademe
Amasya,Suluova,0.061,3. Kademe
Çanakkale,Eceabat,0.058,3. Kademe
Trabzon,Sürmene,0.056,3. Kademe
Rize,Çayeli,0.054,3. Kademe
Afyonkarahisar,Sandıklı,0.052,3. Kademe
Denizli,Acıpayam,0.052,3. Kademe
Çanakkale,Ezine,0.043,3. Kademe
Manisa,Alaşehir,0.038,3. Kademe
Tokat,Turhal,0.037,3. Kademe
Iğdır,Merkez,0.033,3. Kademe
Ankara,Ayaş,0.032,3. Kademe
Yalova,Armutlu,0.029,3. Kademe
Erzurum,Oltu,0.025,3. Kademe
Bolu,Gerede,0.024,3. Kademe
