ilan_id,oda_sayisi,banyo_sayisi,kat_sayisi,isinma_tipi,cephe,kullanim_durumu
125511-462,1 + 1,1.0,4 Katlı,Kombi,"Doğu, Batı",Boş
111966-3108,3 + 1,1.0,4 Katlı,Soba,"Kuzey, Doğu",Kiracılı
104770-7254,1 + 1,1.0,6 Katlı,Kombi,"Güney, Doğu",Boş
110641-26,1 + 1,1.0,4 Katlı,Kombi,Doğu,Kiracılı
90050-841,1 + 0,1.0,3 Katlı,Merkezi,Güney,Kiracılı
156432-4,2 + 1,1.0,4 Katlı,Soba,"Güney, Batı",Boş
15694-3471,3 + 1,1.0,4 Katlı,Kombi,Doğu,
110589-1348,1 + 1,1.0,10 Katlı,Merkezi,"Kuzey, Güney, Doğu, Batı",Boş
37307-654,2 + 1,2.0,5 Katlı,Kombi,"Kuzey, Doğu, Batı",Boş
142108-25,1 + 0,1.0,13 Katlı,Kombi,"Güney, Doğu",Boş
129059-1211,2 + 1,1.0,5 Katlı,Kombi,Güney,Kiracılı
131206-1568,2 + 0,1.0,4 Katlı,Kombi,"Kuzey, Doğu",Mülk Sahibi
111753-2339,2 + 1,1.0,4 Katlı,Kombi,"Güney, Doğu",Boş
151270-159,1 + 0,1.0,5 Katlı,Kombi,Güney,Mülk Sahibi
110538-3634,3 + 1,1.0,4 Katlı,Kombi,"Doğu, Batı",Boş
131113-189,1 + 0,1.0,3 Katlı,Merkezi,"Kuzey, Doğu",Kiracılı
129046-279,1 + 1,1.0,4 Katlı,Kombi,"Kuzey, Batı",Kiracılı
137304-640,1 + 1,1.0,3 Katlı,Yerden Isıtma,Güney,Boş
111753-1907,2 + 1,2.0,4 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
134619-428,1 + 1,1.0,3 Katlı,Kombi,"Güney, Doğu",Boş
148392-87,2 + 0,1.0,5 Katlı,Kombi,Güney,Boş
137102-557,3 + 1,1.0,6 Katlı,Isıtma Yok,"Kuzey, Güney, Doğu, Batı",Kiracılı
104770-7191,1 + 1,1.0,6 Katlı,Kombi,"Güney, Doğu",Boş
